Altium Designer Pick and Place Locations,,,,,,,,,,,,,,
C:\Users\gugan\Downloads\Project Outputs\Pick Place for DC Battery Tester - LAYOUT 1.csv,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#ERROR!,,,,,,,,,,,,,,
File Design Information:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:       30-11-25,,,,,,,,,,,,,,
Time:       15:00,,,,,,,,,,,,,,
Revision:   Not in VersionControl,,,,,,,,,,,,,,
Variant:    No variations,,,,,,,,,,,,,,
Units used: mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,,,,,,,
C20,CC0603KPX7R9BB104,TopLayer,FP-CC0603-DA-MFG,23.1944,22.5234,270,CAP CER 0.1UF 50V X7R 0603,,,,,,,
R19,120,TopLayer,RESC3225X60X45NL20T20,14.933,5.9182,180,,,,,,,,
MicroSD,DM3AT-SF-PEJM5(40),TopLayer,FP-DM3AT-SF-PEJM5_40-MFG,26.1702,8.4818,0,CONN MICRO SD R/A PUSH-PUSH SMD,,,,,,,
D11,CD LED,TopLayer,FP-LTST-C190GKT-MFG,13.483,9.7536,270,LED GREEN CLEAR CHIP SMD,,,,,,,
3.3V LDO,MIC5504-3.3YM5-TR,TopLayer,FP-SOT23-5LD-PL-1-MFG,26.9632,21.1834,180,IC REG LINEAR 3.3V 300MA SOT23-5,,,,,,,
C2,100nF,TopLayer,FP-CC0603-DA-MFG,171.45,7.7978,180,CAP CER 0.1UF 50V X7R 0603,,,,,,,
C1,100nF,TopLayer,FP-CC0603-DA-MFG,171.2742,11.3303,180,CAP CER 0.1UF 50V X7R 0603,,,,,,,
FB1,74279252,TopLayer,WE-CBF_1812_L4.5W3.2H1.5_HC,166.8242,10.9053,270,,,,,,,,
C18,CC0603KPX7R9BB104,TopLayer,FP-CC0603-DA-MFG,81.557,52.2367,270,CAP CER 0.1UF 50V X7R 0603,,,,,,,
DC JACK - IN,PJ-102BH,TopLayer,CUI-PJ-102BH_V,166.0116,55.4614,0,"Through Hole Right Angle DC Power Jack, 5 A, 2.5 mm Center Pin, 3 Position, -25 to 85 degC, RoHS, Bulk",,,,,,,
RPU10,Resistor 4k7 +/-1% 0402 100 mW,TopLayer,RESC1005X40X25ML05T05,63.7653,56.3822,0,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)",,,,,,,
RPU9,Resistor 4k7 +/-1% 0402 100 mW,TopLayer,RESC1005X40X25ML05T05,64.8208,58.5272,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)",,,,,,,
RPU8,Resistor 4k7 +/-1% 0402 100 mW,TopLayer,RESC1005X40X25ML05T05,66.4464,58.4369,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)",,,,,,,
RPU5,Resistor 4k7 +/-1% 0402 100 mW,TopLayer,RESC1005X40X25ML05T05,71.9858,58.7379,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)",,,,,,,
RPU4,Resistor 4k7 +/-1% 0402 100 mW,TopLayer,RESC1005X40X25ML05T05,74.0309,58.4369,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)",,,,,,,
RPU3,Resistor 4k7 +/-1% 0402 100 mW,TopLayer,RESC1005X40X25ML05T05,75.9614,58.4369,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)",,,,,,,
RPU2,Resistor 4k7 +/-1% 0402 100 mW,TopLayer,RESC1005X40X25ML05T05,77.8999,58.4369,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)",,,,,,,
RPU1,Resistor 4k7 +/-1% 0402 100 mW,TopLayer,RESC1005X40X25ML05T05,80.5219,58.3467,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)",,,,,,,
D10,S1M-13-F,BottomLayer,DIOD-S1M-13-F-SMA-2_V,38.6588,151.4602,0,"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel",,,,,,,
D9,S1M-13-F,BottomLayer,DIOD-S1M-13-F-SMA-2_V,38.735,128.4478,0,"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel",,,,,,,
D8,S1M-13-F,BottomLayer,DIOD-S1M-13-F-SMA-2_V,38.7858,105.664,0,"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel",,,,,,,
D7,S1M-13-F,BottomLayer,DIOD-S1M-13-F-SMA-2_V,38.2524,83.7184,0,"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel",,,,,,,
D6,S1M-13-F,BottomLayer,DIOD-S1M-13-F-SMA-2_V,38.1593,59.444,0,"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel",,,,,,,
D5,S1M-13-F,TopLayer,DIOD-S1M-13-F-SMA-2_V,135.4194,156.7632,180,"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel",,,,,,,
D4,S1M-13-F,TopLayer,DIOD-S1M-13-F-SMA-2_V,135.3178,134.0302,180,"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel",,,,,,,
D3,S1M-13-F,TopLayer,DIOD-S1M-13-F-SMA-2_V,135.4194,111.2464,180,"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel",,,,,,,
D2,S1M-13-F,TopLayer,DIOD-S1M-13-F-SMA-2_V,135.3686,88.2086,180,"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel",,,,,,,
D1,S1M-13-F,TopLayer,DIOD-S1M-13-F-SMA-2_V,134.8352,63.6722,180,"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel",,,,,,,
C5,EEE-FT1H221GP,TopLayer,FP-FTF-MFG,142.8208,21.5131,270,CAP ALUM 220UF 20% 50V SMD,,,,,,,
RPU7,Resistor 4k7 +/-1% 0402 100 mW,TopLayer,RESC1005X40X25ML05T05,67.9615,58.4369,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)",,,,,,,
RPU6,Resistor 4k7 +/-1% 0402 100 mW,TopLayer,RESC1005X40X25ML05T05,69.7996,58.4369,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)",,,,,,,
R18,1K2 1% 1812(4532),BottomLayer,RESC1812(4532)_L,85.097,6.985,0,1K2 0.75W 1% 1812 (4532 Metric)  SMD,,,,,,,
R17,RN73R1ETTP2001F25,BottomLayer,FP-RN73R1E-IPC_B,75.5361,18.4442,0,"2kO � 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thin Film",,,,,,,
R16,10K2 1% 0402(1005),BottomLayer,RESC0402(1005)_N,92.7899,14.1516,180,10K2 0.063W 1% 0402 (1005 Metric)  SMD,,,,,,,
R15,RNCP1206FTD100R,BottomLayer,FP-RNCP1206-IPC_C,79.7859,5.4912,270,100O � 0.5W 1206 High Power Anti-Sulfur Thin Film Chip Resistor,,,,,,,
R14,CRCW251218K0FKEG,BottomLayer,FP-CRCW2512-e3-MFG,67.2752,13.8714,90,"RES Thick Film, 18kO, 1%, 1W, 100ppm/癈, 2512",,,,,,,
